sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9699312056374587
6.9,3.1,5.1,2.3,virginica,0.971387961935083
5.1,2.5,3.0,1.1,versicolor,0.954916009855979
4.4,2.9,,0.2,setosa,0.6434030601834151
5.9,3.0,5.1,1.8,virginica,0.7875087045895076
5.5,3.5,1.3,0.2,setosa,0.9613763452084922
5.6,,3.6,1.3,versicolor,0.9423756070666952
6.5,3.0,5.2,2.0,virginica,0.9566198846311827
5.3,3.7,1.5,0.2,setosa,0.9659317947064032
5.1,3.4,1.5,,setosa,0.8203170655152605
6.1,2.8,4.0,1.3,versicolor,0.9808814170809388
5.5,2.4,3.7,1.0,versicolor,0.9811442016351835
7.7,3.0,6.1,2.3,virginica,0.9665326081217058
6.9,3.1,4.9,1.5,versicolor,0.7470316084210353
6.0,2.2,5.0,1.5,versicolor,0.5804242981559775
